greenwich_date,jd_ephem,observer,clamp,ra_h,ra_m,ra_s,ra_o_minus_c,dec_sign,dec_deg,dec_min,dec_sec,dec_o_minus_c,distance_au
1969 Feb. 24.721,40277.22328,Rh,W,22,30,53.153,+0.084,-,9,20,12.64,+0.17,0.989893
1969 Feb. 25.72,40278.22317,Rh,W,22,34,40.212,+0.036,+,8,57,55.71,+0.07,0.990121
1969 Mar. 3.72,40284.22238,KI,,22,57,11.139,+0.061,-,6,41,,,0.991555
1969 Mar. 4.72,40285.22222,Cr,W,23,0,54.521,+0.054,-,6,18,36.79,+1.53,0.991808
1969 Mar. 5.72,40286.22207,Ga,W,23,4,37.425,+0.020,-,5,55,29.13,+0.03,0.992064
1969 Mar. 12.72,40293.22085,Rh,W,23,30,27.553,+0.090,-,3,11,,,0.993943
1969 Mar. 13.72,40294.22066,Gv,,23,34,07.676,+0.022,,,,,+1.23,0.994220
1969 Mar. 14.72,40295.22047,KI,W,23,37,47.700,+0.102,-,2,24,,,0.994497
1969 Mar. 15.72,40296.22027,Rh,,23,41,27.352,+0.051,,,,,,0.994776
1969 Mar. 16.72,40297.22007,Rh,W,23,45,06.910,+0.132,-,1,36,44.80,+0.98,0.995054
1969 Mar. 17.71,40298.21987,Cr,W,23,48,46.129,+0.081,-,1,13,01.16,+1.22,0.995333
1969 Mar. 22.71,40303.21885,Rh,W,0,7,00.020,+0.033,,,,,+1.26,0.996723
1969 Mar. 23.71,40304.21864,Rh,W,0,10,38.466,+0.051,+,1,9,12.02,+0.76,0.997002
1969 Mar. 28.71,40309.21758,,W,0,28,49.842,+0.052,+,3,6,53.10,+0.73,0.998400
1969 Apr. 1.71,40313.21674,Cs,W,0,43,23.245,+0.103,+,4,39,56.70,+0.82,0.999535
1969 Apr. 3.71,40315.21633,Cr,W,,,,+0.009,+,5,25,59.45,+0.80,1.000111
1969 Apr. 6.71,40318.21572,Rh,W,1,1,37.510,+0.007,,,,,-0.16,1.000984
1969 Apr. 8.71,40320.21533,Gv,W,1,8,56.717,+0.052,+,7,19,20.74,-0.20,1.001569
1969 Apr. 9.71,40321.21514,Cr,W,1,12,36.720,+0.084,+,7,41,41.24,+0.36,1.001861
1969 May. 2.71,40344.21192,Cs,E,2,38,38.784,+0.046,+,15,28,18.13,-0.82,1.008062
1969 May. 3.71,40345.21185,Rh,E,2,42,28.876,+0.085,+,15,46,00.49,+0.56,1.008312
1969 May. 4.71,40346.21178,Rh,E,2,46,19.410,+0.001,+,16,3,25.45,+0.07,1.008561
1969 May. 5.71,40347.21172,Cs,E,2,50,10.600,-0.008,+,16,20,35.16,+0.21,1.008810
1969 May. 6.71,40348.21166,Gv,E,2,54,02.411,+0.032,+,16,37,27.43,-0.96,1.009056
1969 May. 7.71,40349.21161,Cr,E,2,57,54.796,+0.066,+,16,54,04.94,-0.51,1.009301
1969 May. 10.71,40352.21151,Gv,E,3,9,35.338,+0.033,+,17,42,14.71,+0.19,1.010018
1969 May. 12.71,40354.21147,Cs,E,3,17,25.392,+0.075,+,18,12,52.37,-0.17,1.010479
1969 May. 15.71,40357.21147,Cr,E,3,29,14.818,+0.083,+,18,56,31.53,+0.21,1.011140
1969 May. 16.71,40358.21148,Cs,E,3,33,12.403,+0.039,+,19,10,,,1.011352
1969 May. 17.71,40359.21150,Rh,E,3,37,10.612,+0.046,+,19,24,01.35,-0.18,1.011558
1969 May. 22.71,40364.21169,Cr,W,3,57,09.807,+0.104,+,20,26,55.95,-0.21,1.012524
1969 May. 26.71,40368.21195,Ga,W,4,13,18.185,+0.005,+,21,10,58.18,+0.28,1.013223
1969 May. 27.71,40369.21203,Cr,W,4,17,21.484,-0.001,+,21,21,04.17,+0.27,1.013390
1969 May. 28.71,40370.21211,Cs,W,0,4,21,,+,21,30,47.96,+0.27,1.013553
1969 May. 29.71,40371.21220,KI,W,4,25,29.484,+0.042,+,21,40,,,1.013712
1969 May. 30.71,40372.21229,Gv,W,4,29,34.119,+0.045,+,21,49,08.37,+0.30,1.013870
1969 May. 31.71,40373.21239,Rh,W,4,33,39.193,+0.058,+,21,57,44.52,+0.18,1.014026
1969 Jun. 1.71,40374.21249,Ga,W,0,37,44.636,+0.022,+,22,5,57.52,-0.21,1.014179
1969 Jun. 2.71,40375.21260,Ga,W,,,,,+,22,13,48.01,-0.09,1.014328
1969 Jun. 3.71,40376.21271,Cr,W,4,45,56.840,+0.072,+,22,21,15.11,-0.15,1.014476
1969 Jun. 4.71,40377.21283,Du,W,4,50,03.544,+0.141,+,22,28,19.44,+0.32,1.014620
1969 Jun. 5.71,40378.21295,Ga,W,4,54,10.475,+0.074,+,22,35,00.69,+1.30,1.014761
1969 Jun. 6.71,40379.21307,Ho,W,4,58,17.877,+0.138,+,22,41,16.48,+0.45,1.014898
1969 Jun. 7.71,40380.21320,Rh,W,5,2,25.465,+0.064,+,22,47,09.50,+0.72,1.015032
1969 Jun. 8.71,40381.21333,Rh,W,5,6,33.428,+0.065,+,22,52,37.49,-0.02,1.015160
1969 Jun. 12.71,40385.21389,Ga,W,5,23,07.923,+0.089,+,23,10,29.88,-0.36,1.015623
1969 Jun. 13.71,40386.21403,Gv,W,5,27,17.083,+0.102,+,23,13,56.95,-0.37,1.015725
1969 Jun. 20.71,40393.21509,Cr,E,5,56,24.073,+0.079,+,23,26,35.39,+0.47,1.016278
1969 Jun. 21.71,40394.21524,Gv,E,6,0,33.737,+0.075,+,23,26,43.47,-0.42,1.016336
1969 Jun. 23.71,40396.21554,Rh,E,6,8,52.843,+0.028,+,23,25,47.18,-0.22,1.016434
1969 Jun. 24.71,40397.21569,Gv,E,6,13,02.310,+0.057,+,23,24,41.63,-0.30,1.016478
1969 Jun. 26.71,40399.21598,Rv,E,0,6,21,,+,23,21,16.55,-0.34,1.016550
1969 Jun. 28.71,40401.21626,Rh,E,6,29,38.618,+0.045,+,23,16,13.67,+0.10,1.016608
1969 Jun. 29.71,40402.21640,Rh,E,6,33,47.226,+0.026,+,23,13,05.17,-0.06,1.016633
1969 Jun. 30.71,40403.21654,Rh,E,6,37,55.648,+0.049,+,23,9,32.02,-0.57,1.016654
1969 Jul. 1.71,40404.21667,Ho,E,6,42,03.847,+0.077,+,23,5,35.03,-0.60,1.016672
1969 Jul. 2.71,40405.21681,Du,E,6,46,11.760,+0.078,+,23,1,14.48,-0.02,1.016686
1969 Jul. 3.71,40406.21693,Cr,E,6,50,19.334,+0.022,,,,,-0.25,1.016697
1969 Jul. 4.71,40407.21706,Rh,E,6,54,26.718,+0.061,+,22,51,19.55,-0.59,1.016704
1969 Jul. 6.71,40409.21730,Rh,E,7,2,40.492,+0.074,+,22,39,49.76,-0.41,1.016704
1969 Jul. 14.71,40417.21807,Cr,E,7,35,20.270,+0.066,+,21,38,16.65,-1.15,1.016498
1969 Jul. 15.71,40418.21815,Rv,E,0,7,39,,+,21,28,53.59,-0.85,1.016446
1969 Jul. 17.71,40420.21828,Rh,E,7,47,27.463,+0.010,+,21,9,,,1.016324
1969 Aug. 6.71,40440.21809,Ga,W,0,6,02.120,+0.036,+,16,37,09.57,-0.92,1.014145
1969 Aug. 7.71,40441.21800,Cr,W,9,9,51.695,+0.107,+,16,20,,,1.013997
1969 Aug. 8.71,40442.21792,Cs,W,9,13,40.625,+0.099,+,16,3,25.85,-1.21,1.013846
1969 Aug. 10.71,40444.21772,Rh,W,0,9,21,,+,15,28,40.98,-0.50,1.013527
1969 Aug. 16.71,40450.21698,Ga,W,9,43,51.696,+0.018,+,13,38,36.65,-0.49,1.012448
1969 Aug. 20.71,40454.21636,Gv,W,9,58,44.445,+0.126,+,12,20,50.52,-0.68,1.011636
1969 Aug. 21.71,40455.21619,Rh,W,10,2,26.286,+0.052,+,12,0,54.28,-0.58,1.011424
1969 Aug. 23.71,40457.21584,Rh,W,10,9,48.685,+0.045,+,11,20,27.65,-1.13,1.010990
1969 Aug. 24.71,40458.21565,Rh,W,10,13,29.294,+0.132,+,10,59,58.34,-1.25,1.010770
1969 Aug. 25.71,40459.21546,KI,W,10,17,09.356,+0.097,+,10,39,19.86,-0.24,1.010548
1969 Aug. 26.71,40460.21527,Ho,W,10,20,49.033,+0.099,+,10,18,30.02,-0.53,1.010323
1969 Aug. 27.71,40461.21507,Cs,W,10,24,28.274,+0.067,+,9,57,30.86,-0.46,1.010097
1969 Aug. 31.71,40465.21423,Ho,W,10,39,01.880,+0.110,+,8,32,02.45,+0.10,1.009181
1969 Aug. 1.71,40466.21401,Cs,W,10,42,39.445,+0.063,+,8,10,18.68,+0.13,1.008947
1969 Sep. 7.71,40472.21264,Ho,W,11,4,20.024,+0.166,+,5,57,18.90,+0.02,1.007493
1969 Sep. 11.71,40476.21168,KI,E,11,18,43.100,+0.017,+,4,26,32.64,-1.64,1.006464
1969 Sep. 12.71,40477.21144,Cs,E,1,22,18.621,+0.049,,,,,-0.33,1.006199
1969 Sep. 14.71,40479.21095,Ho,E,11,29,29.355,+0.068,+,3,17,41.12,+0.13,1.005659
1969 Sep. 23.70,40488.20874,Rh,E,12,1,46.751,+0.069,+,0,11,33.75,+0.24,1.003126
1969 Sep. 26.70,40491.20801,Jo,E,12,12,33.957,+0.106,-,1,21,,,1.002274
1969 Sep. 27.70,40492.20778,Rh,E,12,16,10.005,+0.074,-,1,45,02.11,-0.14,1.001991
1969 Sep. 28.70,40493.20754,Ho,E,0,12,19,,-,2,8,23.81,-0.77,1.001708
1969 Sep. 29.70,40494.20731,KI,E,12,23,22.843,+0.050,-,2,31,43.90,-0.84,1.001427
1969 Sep. 30.70,40495.20709,Rh,E,12,26,59.687,+0.076,,,,,-0.59,1.001146
1969 Oct. 4.70,40499.20621,Rh,E,12,41,30.140,+0.141,-,4,27,57.33,-0.89,1.000023
1969 Oct. 6.70,40501.20580,Rn,E,12,48,47.432,+0.101,,,,,-0.05,0.999458
1969 Oct. 10.70,40505.20503,Cs,E,13,3,27.108,+0.099,+,6,45,36.87,+0.18,0.998323
1969 Oct. 11.70,40506.20485,Rh,E,13,7,08.241,+0.157,-,7,8,17.06,+0.12,0.998037
1969 Oct. 12.70,40507.20468,Rh,E,13,10,49.769,+0.119,-,7,30,51.52,-0.05,0.997750
1969 Oct. 18.70,40513.20377,Rh,W,13,33,10.371,+0.106,,,,,-0.05,0.996020
1969 Oct. 19.70,40514.20364,Ho,W,13,36,55.799,+0.103,-,10,5,34.90,-0.28,0995734
1969 Oct. 20.70,40515.20352,KI,W,13,40,41.872,+0.129,-,10,27,08.10,-0.12,0.995449
1969 Oct. 21.70,40516.20341,Ho,W,13,4,4,,-,10,48,31.05,+0.88,0.995166
1969 Oct. 23.70,40518.20320,Cr,W,13,52,03.763,+0.030,-,11,30,,,0.994609
1969 Oct. 24.70,40519.20311,Cs,,0,13,55,,-,11,51,43.25,+0.59,0.994334
1969 Oct. 27.70,40522.20289,Du,W,14,7,22.919,+0.131,-,12,53,19.76,-141,0.993528
1969 Oct. 30.70,40525.20274,Ho,W,0,14,18,,-,13,53,04.93,+0.58,0.992749
1969 Nov. 15.70,40541.20342,Rh,E,15,23,04.085,+0.091,,,,,+014,1988920
1969 Nov. 16.70,40542.20355,Ho,E,15,27,11.468,+0.083,-,18,49,,,0.988698
1969 Nov. 17.70,40543.20368,Cr,E,15,31,19.709,+0.122,,,,,+1.12,0988479
1969 Nov. 18.70,40544.20383,Ho,E,15,35,28.744,+0.133,-,19,18,13.85,+0.57,0.988264
1969 Nov. 21.70,40547.20432,Cs,E,0,15,48,,-,19,59,16.40,-1.44,0.987644
1969 Nov. 22.70,40548.20450,Rh,E,15,52,12.918,+0.171,-,20,12,11.08,+0.66,0.987447
1969 Nov. 23.70,40549.20469,Ho,E,15,56,25.949,+0.184,-,20,24,47.37,-1.07,0987256
1969 Nov. 24.70,40550.20489,Cr,E,16,0,39.695,+0.129,-,20,36,59.45,-1.09,0.987068
1969 Nov. 25.70,40551.20509,So,E,0,16,04,,-,20,48,47.63,-0.17,0.986886
1969 Nov. 26.70,40552.20531,Cs,E,0,16,09,,-,21,0,14.32,-1.02,0.986710
1969 Nov. 27.70,40553.20554,Ho,E,0,16,13,,-,21,11,15.53,+0.10,0.986539
1969 Nov. 28.70,40554.20577,Cr,E,16,17,42.453,+0.122,-,21,21,53.83,+0.26,0.986372
1969 Nov. 29.70,40555.20601,Ho,E,16,21,59.964,+0.118,-,21,32,07.15,+1.17,0.986211
1969 Nov. 30.70,40556.20626,Ho,E,0,16,26,,-,21,41,58.24,-0.21,0.986054
1969 Dec. 4.70,40560.20734,Cs,E,0,16,43,,-,22,17,05.96,-0.05,0.985470
1969 Dec. 5.70,40561.20762,Ho,E,16,47,58.933,+0.066,-,22,24,48.87,-0.21,0.985334
1969 Dec. 13.71,40569.21012,Rh,W,0,17,23,,-,23,10,28.66,+0.86,0.984364
1969 Dec. 17.71,40573.21146,Cs,W,17,40,50.277,+0.126,-,23,22,18.86,+1.31,0.983969
1969 Dec. 18.71,40574.21180,Ho,W,17,45,16.291,+0.033,-,23,24,,,0.983883
1969 Dec. 20.71,40576.21249,Ho,W,17,54,08.976,+0.139,-,23,26,17.83,+0.56,0.983727
1969 Dec. 24.71,40580.21387,Ho,W,0,18,11,,-,23,25,00.42,+0.87,0.983491
1970 Jan. 2.71,40589.21690,Cs,W,0,18,51,,-,22,54,43.65,+0.02,0.983310
1970 Jan. 5.71,40592.21785,Cs,W,19,4,58.600,+0.089,,,,,+1.11,0.983340
1970 Jan. 30.72,40617.22334,Jo,E,0,20,51,,-,17,38,01.17,+0.57,0.985204
1970 Feb. 4.72,40622.22378,Ho,E,0,21,48.887,+0.076,-,16,11,45.14,+1.22,0.985961
1970 Feb. 7.72,40625.22393,Ho,E,21,23,51.782,+0.102,-,15,16,35.09,+0.75,0.986451
1970 Feb. 12.72,40630.22400,Ho,W,21,43,40.494,+0.145,,,,,+0.41,0987324
1970 Feb. 18.72,40636.22379,Du,W,22,7,01.439,+0.051,-,11,35,50.56,+1.61,0.988494
1970 Feb. 19.72,40637.22373,Ho,W,22,10,52.443,+0.072,,,,,+0.36,0.988705
1970 Feb. 22.72,40640.22349,Ho,W,22,22,21.425,+0.103,+,10,9,,,0.989362
1970 Feb. 23.72,40641.22339,Ho,W,22,26,09.669,-0.030,-,9,47,43.67,+0.85,0.989591
1970 Feb. 26.72,40644.22307,Cr,W,22,37,31.359,+0.062,+,8,41,,,0.990300
1970 Feb. 27.72,40645.22295,Cs,W,0,22,41,,-,8,18,29.54,+1.21,0.990544
1970 Feb. 28.72,40646.22282,Ho,W,22,45,03.009,+0.068,-,7,55,52.42,+0.39,0.990791
1970 Mar. 1.72,40647.22269,Ho,W,22,48,48.138,+0.135,-,7,33,,,0.991040
1970 Mar. 2.72,40648.22255,Ho,W,0,22,52,,,,,,+1.13,0.991293
1970 Mar. 8.72,40654.22161,Ho,W,23,14,50.751,+0.126,-,4,51,09.09,+0.42,0.992836
1970 Mar. 11.72,40657.22108,Du,E,23,25,54.391,+0.061,-,3,40,39.83,+0.21,0.993618
1970 Mar. 14.72,40660.22052,Ho,E,0,23,36,,-,2,29,47.28,.43,0.994409
1970 Mar. 16.72,40662.22012,Du,E,23,44,14.280,+0.037,-,1,42,23.78,+1.53,0.994944
1970 Mar. 17.71,40663.21992,Ho,,0,23,47,,,,,,+0.96,0.995214
1970 Mar. 27.71,40673.21784,Ho,E,0,24,18.161,+0.059,,,,,+1.15,0.998031
1970 Mar. 28.71,40674.21763,Ho,E,0,27,56.398,+0.063,+,3,1,09.25,+2.05,0.998323
1970 Apr. 3.71,40680.21638,Jo,E,0,49,47.462,+0.024,+,5,20,,,1.000081
1970 Apr. 5.71,40682.21597,Ho,E,0,57,05.614,+0.064,,,,,+1.02,1.000660
1970 Apr. 8.71,40685.21538,Cn,E,1,8,04.225,+0.057,,,,,,1.001515
1970 Apr. 11.71,40688.21482,Ho,W,1,19,04.955,+0.076,,,,,+1.20,1.002355
1970 Apr. 18.71,40695.21362,Ho,W,1,44,56.963,+0.063,+,10,51,,,1.004280
1970 Apr. 21.71,40698.21317,Rh,W,1,56,07.652,+0.111,+,11,53,06.58,+0.77,1.005098
1970 Apr. 30.71,40707.21211,Hd,W,0,2,30,,+,14,47,44.23,+0.27,1.007518
1970 Apr. 1.71,40708.21202,Hd,W,0,2,33,,+,15,5,59.82,-0.01,1.007777
1970 Apr. 2.71,40709.21194,Ho,W,2,37,43.404,+0.102,+,15,24,00.66,-0.15,1.008034
1970 Apr. 5.71,40712.21174,Hd,W,2,49,15.328,+0.050,+,16,16,31.79,+0.93,1.008780
1970 May. 9.71,40716.21156,Rh,E,0,4,45.871,+0.071,+,17,22,42.15,-0.15,1.009720
1970 May. 11.71,40718.21150,Cn,E,0,3,12,,+,17,54,04.49,+0.17,1.010168
1970 May. 12.71,40719.21149,Du,E,3,16,29.564,-0.019,+,18,9,18.52,+0.21,1.010386
1970 May. 14.71,40721.21147,Hd,E,0,3,24,,+,18,38,51.30,+0.41,1.010813
1970 May. 18.71,40725.21152,Hd,E,0,3,40,,+,19,34,05.97,-0.75,1.011635
1970 May. 19.71,40726.21155,Rh,E,3,44,11.190,+0.092,+,19,47,05.87,-0.57,1.011835
1970 May. 20.71,40727.21159,Cr,E,3,48,10.711,+0.060,+,19,59,,,1.012032
1970 May. 22.71,40729.21168,Du,E,3,56,11.430,+0.039,+,20,24,03.12,-0.41,1.012421
1970 May. 23.71,40730.21173,Ho,E,4,0,12.558,-0.012,+,20,35,41.09,-0.03,1.012611
1970 May. 24.71,40731.21179,Rh,E,4,4,14.350,+0.083,+,20,46,57.75,+0.08,1.012800
1970 May. 29.71,40736.21217,Ho,E,4,24,30.453,+0.064,+,21,37,,,1.013696
1970 May. 30.71,40737.21227,Rn,E,4,28,35.116,+0.055,+,21,47,00.64,+0.41,1.013862
1970 May. 31.71,40738.21237,Ho,E,4,32,40.203,+0.022,+,21,55,42.83,040,1.014024
1970 Jun. 3.71,40741.21269,Rn,E,4,44,58.095,+0.028,+,22,19,30.41,0.59,1.014479
1970 Jun. 10.71,40748.21359,Du,W,5,13,51.645,+0.071,+,23,1,17.91,+0.42,1.015350
1970 Jun. 11.71,40749.21373,Ho,W,5,18,00.318,+0.094,+,23,5,38.82,-0.22,1.015455
1970 Jun. 12.71,40750.21387,Cn,W,5,22,09.165,+0.113,+,23,9,36.13,-0.03,1.015554
1970 Jun. 13.71,40751.21401,Rh,W,5,26,18.143,+0.091,+,23,13,09.22,+0.41,1.015650
1970 Jun. 14.71,40752.21416,Ho,W,5,30,27.323,+0.138,+,23,16,17.53,10.66,1.015741
1970 Jun. 17.71,40755.21460,Cr,W,5,42,55.381,+0.135,+,23,23,14.10,+0.91,1.015992
1970 Jun. 18.71,40756.21475,Du,W,5,47,04.778,+0.035,+,23,24,42.75,+0.21,1.016069
1970 Jun. 20.71,40758.21505,Ho,W,5,55,23.885,+0.037,+,23,26,27.50,+0.36,1.016213
1970 Jun. 23.71,40761.21550,Hd,W,,,,,+,23,25,58.03,-037,1016405
1970 Jun. 24.71,40762.21565,Rv,W,0,6,12,,+,23,24,59.39,40.14,1.016462
1970 Jun. 25.71,40763.21579,,,6,16,11.376,,,,,,+020,
1970 Jun. 27.71,40765.21609,Ho,W,0,24,29.785,40.114,,,,,,1016606
1970 Jun. 28.71,40766.21623,Ho,W,6,28,38.792,+0.122,,,,,-0.59,1.016643
1970 Jul. 2.71,40770.21678,Cr,W,6,45,12.743,+0.058,,,,,-019,
1970 Jul. 3.71,40771.21691,Jo,W,6,49,20.625,+0 064,,,,,0.37,
1970 Jul. 4.71,40772.21704,Ho,W,,,,,,,,,,
1970 Jul. 15.71,40783.21814,Ho,E,7,38,25.416,+0.073,+,21,31,,,1.016411
1970 Jul. 16.71,40784.21820,Du,E,7,42,27.865,+0.145,+,21,21,,,1016353
1970 Jul. 17.71,40785.21827,Cn,E,7,46,29.637,+0.067,+,21,11,,,1.016292
1970 Jul. 18.71,40786.21832,Rh,E,7,50,31.023,+0.129,+,21,1,,,
1970 Jul. 19.71,40787.21837,Rh,E,7,54,31.771,+0.099,+,20,50,,,1.016160
1970 Jul. 25.71,40793.21853,Rh,E,8,18,24.741,+0.053,+,19,38,41.01,-0.49,1.015684
1970 Jul. 27.71,40795.21853,Du,E,8,26,17.847,+0.004,+,19,12,07.48,-1.02,1.015491
1970 Jul. 28.71,40796.21852,Go,E,8,30,13.541,-0.007,+,18,58,22.94,-0.20,1.015387
1970 Jul. 30.71,40798.21848,Hd,E,0,38,03.190,+0.0,,,,,,
1970 Aug. 1.71,40800.21841,Rh,E,,,,,+,18,0,15.90,-0.51,1.014918
1970 Aug. 2.71,40801.21836,Go,E,8,49,43.111,+0.002,+,17,44,,,1.014789
1970 Aug. 5.71,40804.21819,Ga,W,0,1,17.575,0040,+,16,57,,,1014362
1970 Aug. 11.71,40810.21765,Hd,W,9,24,10.045,+0.062,,,,,-100,1013379
1970 Aug. 12.71,40811.21753,Cn,W,9,27,56.808,+0.149,,,,,,1013202
1970 Aug. 13.71,40812.21741,Ku,,0,9,31,,+,14,39,01,,
1970 Aug. 14.71,40813.21729,Jo,W,9,35,28.403,+0.120,+,14,20,37.77,-0.93,1012837
1970 Aug. 16.71,40815.21701,Go,W,,,,+0.115,,,,,,1.012462
1970 Aug. 18.71,40817.21671,Rv,W,0,9,50,,,,,,-1.28,10079
1970 Aug. 20.71,40819.21639,Jo,W,9,57,50.392,+0.071,+,12,25,39.25,-1.16,1.011687
1970 Aug. 21.71,40820.21623,Ки,W,10,1,32.334,+0.044,,,,,-134,1011488
1970 Aug. 22.71,40821.21605,Rh,W,10,5,13.965,0.151,+,11,45,42.49,,10187
